# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	803
#@/user_id	5a29dfa3-18c7-4ecc-83e9-ffd4eff60ca8
a 	啊	c=1 d=1 t=148
shuo shi 	碩士	c=2 d=1.68045 t=549
shuo wo 	說我	c=1 d=1 t=80
si 	絲	c=1 d=1 t=772
su 	素	c=1 d=1 t=413
suan 	算	c=2 d=1.956 t=711
sui bi 	隨筆	c=1 d=1 t=71
sui feng 	隨風	c=1 d=1 t=575
suo yi 	所以	c=1 d=1 t=309
ta 	他	c=2 d=1.14661 t=394
tan suo 	探索	c=1 d=1 t=783
tang 	唐	c=1 d=1 t=601
teng xun 	騰訊	c=1 d=1 t=465
tian 	天	c=1 d=1 t=656
tiao shi 	調試	c=1 d=1 t=568
tong chang 	通常	c=1 d=1 t=260
tou 	投	c=1 d=1 t=450
tou piao 	投票	c=1 d=1 t=784
tu 	圖	c=1 d=1 t=2
tu ku 	圖庫	c=1 d=1 t=1
tu ran 	突然	c=1 d=1 t=353
tui chu 	推出	c=1 d=1 t=126
wan cheng 	完成	c=2 d=1.86502 t=206
wan quan 	完全	c=1 d=1 t=186
wan zheng ban 	完整版	c=1 d=1 t=774
wang 	王	c=1 d=1 t=15
wang luo 	網絡	c=1 d=1 t=803
wei 	位	c=8 d=4.95978 t=499
wei 	爲	c=4 d=2.54016 t=308
wei bi 	未必	c=1 d=1 t=97
wei hu 	維護	c=1 d=1 t=197
wei le 	爲了	c=1 d=1 t=182
wei shen me 	爲什麼	c=1 d=1 t=244
wei zhu 	爲主	c=1 d=1 t=43
wen 	文	c=2 d=1.77105 t=484
wen dao 	問到	c=1 d=1 t=511
wo 	我	c=12 d=5.37655 t=741
wo men 	我們	c=3 d=2.64673 t=695
wu xian 	無線	c=3 d=2.96042 t=802
wu ye 	物業	c=5 d=4.0673 t=703
xi tong 	系統	c=1 d=1 t=100
xi wang 	希望	c=2 d=1.956 t=705
xi zhi men 	西直門	c=1 d=1 t=529
xia 	下	c=2 d=1.12431 t=680
xia po 	下坡	c=1 d=1 t=606
xia zai 	下載	c=1 d=1 t=427
xian 	先	c=0 d=0.1 t=103
xian chang 	現場	c=1 d=1 t=678
xian dai 	現代	c=2 d=1.04482 t=786
xian ran 	顯然	c=1 d=1 t=118
xian sheng 	先生	c=1 d=1 t=20
xian yi ci 	先以此	c=1 d=1 t=104
xian zai 	現在	c=2 d=1.20089 t=361
xiang 	像	c=1 d=1 t=572
xiang 	香	c=2 d=1.0599 t=777
xiang cha 	相差	c=1 d=1 t=158
xiang dui 	相對	c=1 d=1 t=400
xiang fan 	相反	c=1 d=1 t=75
xiang guan 	相關	c=1 d=1 t=515
xiang mu 	項目	c=1 d=1 t=62
xiang qi 	想起	c=1 d=1 t=354
xiao ding 	小丁	c=1 d=1 t=619
xiao kai 	小楷	c=1 d=1 t=524
xiao shi 	消失	c=1 d=1 t=563
xiao xie 	小寫	c=3 d=1.84076 t=321
xie 	寫	c=1 d=1 t=727
xie cheng 	寫成	c=1 d=1 t=285
xie chu 	寫出	c=1 d=1.09005 t=224
xie fa 	寫法	c=1 d=1 t=252
xin 	新	c=3 d=2.35472 t=714
xin feng 	信封	c=1 d=1 t=527
xing gan 	性感	c=1 d=1 t=769
xiu gai 	修改	c=1 d=1 t=422
ya li 	壓力	c=1 d=1 t=534
yan chang hui 	演唱會	c=1 d=1 t=86
yan yuan 	演員	c=1 d=1 t=216
yao 	要	c=2 d=1.43823 t=355
yao bu 	要不	c=1 d=1 t=757
ye hua 	野花	c=1 d=1 t=776
ye hui 	也會	c=0 d=0.1 t=753
ye hui bi jiao 	也會比較	c=1 d=1 t=754
ye shi 	也是	c=1 d=1 t=457
yi 	以	c=1 d=1 t=42
yi 	弋	c=1 d=1 t=602
yi 	易	c=1 d=1 t=195
yi bian 	一遍	c=1 d=1 t=451
yi chu 	移除	c=1 d=1 t=38
yi ci 	一次	c=2 d=1.88692 t=660
yi ci 	以此	c=0 d=0.1 t=103
yi ge 	一個	c=5 d=2.2178 t=412
yi ge shu 	一個數	c=1 d=1 t=161
yi jing 	已經	c=1 d=1 t=628
yi ke 	一顆	c=1 d=1 t=573
yi liang 	一兩	c=1 d=1 t=655
yi lou 	一樓	c=1 d=1 t=612
yi qi 	一起	c=1 d=1 t=365
yi si 	疑似	c=1 d=1 t=565
yi tian 	一天	c=1 d=1 t=377
yi xia 	一下	c=2 d=1.48675 t=493
yi zhi 	一支	c=1 d=1 t=387
yi zhong 	一種	c=1 d=1 t=251
yin 	印	c=2 d=1.98511 t=543
yin qing 	引擎	c=2 d=1.91393 t=513
yin wei 	因爲	c=2 d=1.99501 t=258
ying pin 	應聘	c=1 d=1 t=468
ying yong 	應用	c=1 d=1 t=4
yong 	用	c=1 d=1 t=692
yong shui 	用水	c=1 d=1 t=674
you 	又	c=1 d=1 t=657
you 	有	c=3 d=2.72599 t=110
you 	由	c=1 d=1 t=221
you bi yao 	有必要	c=1 d=1 t=454
you hua 	優化	c=2 d=1.84366 t=208
you kong 	有空	c=1 d=1 t=489
you lao 	有勞	c=1 d=1 t=560
you xian 	有限	c=1 d=1 t=791
you zhuan 	右轉	c=1 d=1 t=595
yu 	於	c=3 d=2.38655 t=266
yu 	欲	c=0 d=0.1 t=68
yu 	與	c=3 d=1.38583 t=578
yu ju 	語句	c=1 d=1 t=505
yuan 	元	c=2 d=1.86071 t=712
yuan 	苑	c=1 d=1 t=597
yuan cheng 	遠程	c=2 d=1.47473 t=567
yuan li 	原理	c=1 d=1 t=523
yuan ma 	源碼	c=4 d=1.16936 t=733
yue 	月	c=7 d=5.98104 t=710
yun 	雲	c=0 d=0.1 t=460
yun suan 	運算	c=1 d=1 t=315
zai 	再	c=3 d=1.35065 t=762
zai 	在	c=13 d=3.1265 t=766
ze 	則	c=1 d=1 t=134
zhang 	漲	c=3 d=2.7388 t=398
zhang ting 	漲停	c=1 d=1 t=410
zhang wen 	張文	c=1 d=1 t=483
zhao 	找	c=1 d=1 t=760
zhao pian 	照片	c=1 d=1 t=6
zhe 	這	c=0 d=0.1 t=272
zhe ge 	這個	c=1 d=1 t=663
zhe li 	這裏	c=1 d=1 t=270
zhe liang zhe 	這兩者	c=1 d=1 t=273
zhe shi 	這是	c=2 d=1.17204 t=552
zhe yang 	這樣	c=1 d=1 t=250
zhe zhong 	這種	c=1 d=1 t=178
zhen 	真	c=1 d=1 t=218
zhen yan 	箴言	c=2 d=1.9802 t=588
zheng jun 	鄭鈞	c=1 d=1 t=430
zheng lun 	爭論	c=1 d=1 t=687
zheng que 	正確	c=1 d=1 t=30
zhi 	之	c=2 d=1.11304 t=603
zhi chi 	支持	c=1 d=1 t=34
zhi ding 	指定	c=1 d=1 t=63
zhi gu 	之故	c=1 d=1 t=185
zhi jian 	之間	c=2 d=1.91393 t=310
zhi jie 	直接	c=1 d=1 t=442
zhi neng 	只能	c=2 d=1.96561 t=404
zhi qian 	之前	c=1 d=1 t=32
zhi shi 	知識	c=3 d=2.84644 t=516
zhi wei 	職位	c=1 d=1 t=448
zhong 	中	c=2 d=1.03271 t=793
zhong guo 	中國	c=1 d=1 t=374
zhu shi 	註釋	c=1 d=1 t=416
zhuan hua 	轉化	c=1 d=1 t=179
zhuan huan 	轉換	c=2 d=1.51944 t=254
zhuan ke 	篆刻	c=1 d=1 t=73
zhuan shu 	篆書	c=3 d=2.54608 t=528
zhun que 	準確	c=1 d=1 t=749
zi 	籽	c=1 d=1 t=12
zi ben 	資本	c=1 d=1 t=789
zi fu 	字符	c=2 d=1.95123 t=130
zi ge 	資格	c=1 d=1 t=79
zi mu 	字母	c=6 d=4.09091 t=322
zong 	總	c=2 d=1.77105 t=485
zong yi 	綜藝	c=1 d=1 t=431
zou 	走	c=1 d=1 t=411
zui duo 	最多	c=1 d=1 t=402
zui gao 	最高	c=1 d=1 t=396
zui hou 	最後	c=1 d=1 t=635
zui jin 	最近	c=1 d=1 t=92
zuo 	座	c=1 d=1 t=598
zuo tian 	昨天	c=1 d=1 t=389
zuo you 	左右	c=2 d=1.05642 t=649
